	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
አተመ - print	ማተም							
	አተምኩ	አትማለሁ	አትሜ	አትሜያለሁ	ላተም	አላተምኩም	አላትምም	አላተም
	አተምክ	ታትማለህ	አትመህ	አትመሃል	አተም	አላተምክም	አታትምም	አታተም
	አተምሽ	ታትሚያለሽ	አትመሽ	አትመሻል	አተሚ	አላተምሽም	አታትሚም	አታተሚ
	አተመ	ያትማል	አትሞ	አትሟል	ያተም	አላተመም	አያትምም	አያተም
	አተመች	ታትማለች	አትማ	አትማለች	ታተም	አላተመችም	አታትምም	አታተም
	አተምን	እናትማለን	አትመን	አትመናል	እናተም	አላተምንም	አናትምም	አናተም
	አተማችሁ	ታትማላችሁ	አትማችሁ	አትማችኋል	አተሙ	አላተማችሁም	አታትሙም	አታተሙ
	አተሙ	ያትማሉ	አትመው	አትመዋል	ያተሙ	አላተሙም	አያትሙም	አያተሙ
	mattäm							
	attämku	attəmallähu	attəmme	attəmmeyallähu	lattəm	alattämkumm	alattəməmm	alattəm
	attämk	tattəmalläh	attəmäh	attəmähall	attəm	alattämkəmm	atattəməmm	attattəm
	attämš	tattəmiyalläš	attəmäš	attəmäšall	attəmi	alattämšəmm	atattəmimm	attattəmi
	attämä	yattəmall	attəmo	attəmwall	yattəm	alattämämm	ayattəməmm	ayattəm
	attämäčč	tattəmalläčč	attəma	attəmalläčč	tattəm	alattämäččəmm	atattəməmm	attattəm
	attämn	ənnattəmallän	attəmän	attəmänall	ənnattəm	alattämnəmm	anattəməmm	annattəm
	attämaččəhu	tattəmallaččəhu	attəmaččəhu	attəmaččhwall	attəm	alattämaččəhumm	atattəmumm	attattəmu
	attämu	yattəmallu	attəmäw	attəmäwall	yattəm	alattämumm	ayattəmumm	ayattəmu
አኘከ - chew	ማኘክ							
	አኘክሁ	አኝካለሁ	አኝኬ	አኝኬያለሁ	ላኘክ	አላኘክሁም	አላኝክም	አላኘክ
	አኘክህ	ታኝካለህ	አኝከህ	አኝከሃል	አኘክ	አላኘክህም	አታኝክም	አታኘክ
	አኘክሽ	ታኝኪያለሽ	አኝከሽ	አኝከሻል	አኘኪ	አላኘክሽም	አታኝኪም	አታኘኪ
	አኘከ	ያኝካል	አኝኮ	አኝኳል	ያኘክ	አላኘከም	አያኝክም	አያኘክ
	አኘከች	ታኝካለች	አኝካ	አኝካለች	ታኘክ	አላኘከችም	አታኝክም	አታኘክ
	አኘክን	እናኝካለን	አኝከን	አኝከናል	እናኘክ	አላኘክንም	አናኝክም	አናኘክ
	አኘካችሁ	ታኝካላችሁ	አኝካችሁ	አኝካችኋል	አኘኩ	አላኘካችሁም	አታኝኩም	አታኘኩ
	አኘኩ	ያኝካሉ	አኝከው	አኝከዋል	ያኘኩ	አላኘኩም	አያኝኩም	አያኘኩ
	maññäk							
	aññäkhu	aññəkallähu	aññəkke	aññəkkeyallähu	laññək	alaññäkhumm	alaññəkəmm	alaññək
	aññäkh	taññəkalläh	aññəkäh	aññəkähall	aññək	alaññäkhəmm	ataññəkəmm	attaññək
	aññäkš	taññəkiyalläš	aññəkäš	aññəkäšall	aññəki	alaññäkšəmm	ataññəkimm	attaññəki
	aññäkä	yaññəkall	aññəko	aññəkwall	yaññək	alaññäkämm	ayaññəkəmm	ayaññək
	aññäkäčč	taññəkalläčč	aññəka	aññəkalläčč	taññək	alaññäkäččəmm	ataññəkəmm	attaññək
	aññäkn	ənnaññəkallän	aññəkän	aññəkänall	ənnaññək	alaññäknəmm	anaññəkəmm	annaññək
	aññäkaččəhu	taññəkallaččəhu	aññəkaččəhu	aññəkaččhwall	aññək	alaññäkaččəhumm	ataññəkumm	attaññəku
	aññäku	yaññəkallu	aññəkäw	aññəkäwall	yaññək	alaññäkumm	ayaññəkumm	ayaññəku
አከመ - treat (med.)	ማከም							
	አከምኩ	አክማለሁ	አክሜ	አክሜያለሁ	ላከም	አላከምኩም	አላክምም	አላከም
	አከምክ	ታክማለህ	አክመህ	አክመሃል	አከም	አላከምክም	አታክምም	አታከም
	አከምሽ	ታክሚያለሽ	አክመሽ	አክመሻል	አከሚ	አላከምሽም	አታክሚም	አታከሚ
	አከመ	ያክማል	አክሞ	አክሟል	ያከም	አላከመም	አያክምም	አያከም
	አከመች	ታክማለች	አክማ	አክማለች	ታከም	አላከመችም	አታክምም	አታከም
	አከምን	እናክማለን	አክመን	አክመናል	እናከም	አላከምንም	አናክምም	አናከም
